2018-10-04 15:33:29,755 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-10-04 15:37:00,237 | WARN  | Transport Connection to: tcp://127.0.0.1:55188 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55188@61616
2018-10-04 15:37:00,237 | WARN  | Transport Connection to: tcp://127.0.0.1:55194 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55194@61616
2018-10-04 15:37:00,237 | WARN  | Transport Connection to: tcp://127.0.0.1:55191 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55191@61616
2018-10-04 15:37:00,237 | WARN  | Transport Connection to: tcp://127.0.0.1:55196 failed: java.net.SocketException: Unrecognized Windows Sockets error: 0: recv failed | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55196@61616
2018-10-04 15:37:00,237 | WARN  | Transport Connection to: tcp://127.0.0.1:55195 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55195@61616
2018-10-04 15:37:00,237 | WARN  | Transport Connection to: tcp://127.0.0.1:55193 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55193@61616
2018-10-04 15:37:00,237 | WARN  | Transport Connection to: tcp://127.0.0.1:55189 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55189@61616
2018-10-04 15:37:00,237 | WARN  | Transport Connection to: tcp://127.0.0.1:55192 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55192@61616
2018-10-04 15:37:00,237 | WARN  | Transport Connection to: tcp://127.0.0.1:55190 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55190@61616
2018-10-04 15:37:00,237 | WARN  | Transport Connection to: tcp://127.0.0.1:55187 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55187@61616
2018-10-04 15:37:14,492 | WARN  | Transport Connection to: tcp://127.0.0.1:55182 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55182@61616
2018-10-04 15:37:43,104 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6eebc39e: startup date [Thu Oct 04 15:37:43 WEST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-10-04 15:37:43,822 | INFO  | PListStore:[D:\Shashank\Shashank_backupFromC\ARIA_new\ARIA\System\External\apache-activemq-5.12.1\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
